Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1.709578,0.000295616453513503,4.33690416912214E-08,10000,3302.52804544295,3206.81567382813,-789.319152832031,-13.8277941881414,21
0,1,1.730835,0.000295616453513503,6.20550082430782E-08,7943.2822265625,3422.5351516854,3350.0986328125,-700.41845703125,-11.8089536586392,21
0,2,1.752025,0.000295616453513503,4.33690416912214E-08,6309.57373046875,3507.29948260211,3454.88500976563,-604.08544921875,-9.91788708305779,21
0,3,1.775015,0.000295616453513503,5.58263550942684E-08,5011.8720703125,3569.96036589452,3533.25341796875,-510.624420166016,-8.22342807945103,21
0,4,1.795187,0.000295616453513503,4.95977019454585E-08,3981.07177734375,3610.02990291499,3584.06274414063,-432.215393066406,-6.8763047640842,21
0,5,1.81661,0.000295616453513503,4.95977019454585E-08,3162.27758789063,3636.38056513937,3617.80712890625,-367.062927246094,-5.79340809625712,21
0,6,1.827758,0.000295616453513503,4.95977019454585E-08,2511.88647460938,3654.38423570856,3640.65625,-316.458862304688,-4.96786726952197,21
0,7,1.848793,0.000295616453513503,4.33690416912214E-08,1995.26232910156,3667.11996889581,3656.22094726563,-282.519470214844,-4.41851619120323,21
0,8,1.871098,0.000295616453513503,6.20550082430782E-08,1584.89318847656,3673.82035387025,3664.6005859375,-260.112548828125,-4.06003272293175,21
0,9,1.89207,0.000295616453513503,4.33690416912214E-08,1258.92529296875,3676.69954465615,3668.41479492188,-246.682861328125,-3.84706779961108,21
0,10,2.032226,0.000295616453513503,4.04496791617248E-09,1000,3687.27889443442,3682.79296875,-181.828475952148,-2.82653725253531,21
0,11,2.053694,0.000295616453513503,4.04496791617248E-09,794.328125,3691.51258424797,3685.3984375,-212.375885009766,-3.29809638401759,21
0,12,2.075131,0.000295616453513503,3.07746716998736E-10,630.957275390625,3699.81992937703,3690.90087890625,-256.745422363281,-3.97918316906885,21
0,13,2.096377,0.000295616453513503,6.53644960380007E-09,501.187133789063,3708.86981197383,3695.8955078125,-309.954315185547,-4.79386233141157,21
0,14,2.106873,0.000295616453513503,-5.92095794615943E-09,398.107177734375,3723.22512863003,3703.09130859375,-386.678314208984,-5.96124506399203,21
0,15,2.129144,0.000295616453513503,4.66783856012398E-09,316.227752685547,3743.26664129292,3712.72119140625,-477.227935791016,-7.32455556742206,21
0,16,2.150187,0.000295616453513503,3.4220981603994E-09,251.188629150391,3777.54128048577,3730.68212890625,-593.151733398438,-9.0340022784783,21
0,17,2.171676,0.000295616453513503,6.53644960380007E-09,199.526214599609,3833.98905788381,3762.54150390625,-736.718078613281,-11.0785425120126,21
0,18,2.193886,0.000295616453513503,3.07746716998736E-10,158.489288330078,3915.89246969665,3806.10522460938,-920.747985839844,-13.5993490165077,21
0,19,2.214582,0.000295616453513503,1.27651524906014E-08,125.892555236816,4023.11967448141,3857.79174804688,-1141.46166992188,-16.4826810760492,21
0,20,2.236084,0.000295616453513503,-5.29808730220793E-09,100,4214.95660974239,3968.138671875,-1421.17370605469,-19.7047910402714,21
0,21,2.257797,0.000295616453513503,8.40506064747615E-09,79.4328002929688,4486.46483891687,4139.39501953125,-1730.25305175781,-22.6847618087845,21
0,22,2.300236,0.000295616453513503,4.66783856012398E-09,63.0957260131836,4852.09626955597,4367.5654296875,-2113.57763671875,-25.8235380097937,21
0,23,2.344002,0.000295616453513503,5.29070831589706E-09,50.1187286376953,5341.06124475492,4713.72021484375,-2511.52880859375,-28.0492465653545,21
0,24,2.386661,0.000295616453513503,4.66783856012398E-09,39.8107070922852,5955.8762612041,5187.7314453125,-2925.7314453125,-29.4217490253689,21
0,25,2.440089,0.000295616453513503,4.66783856012398E-09,31.6227760314941,6666.4421511483,5810.34228515625,-3268.23706054688,-29.3571507143352,21
0,26,2.504137,0.000295616453513503,5.29070831589706E-09,25.1188545227051,7438.81455639024,6557.40087890625,-3512.3291015625,-28.1747593515004,21
0,27,2.578816,0.000295616453513503,4.66783856012398E-09,19.9526195526123,8199.49325947745,7375.63427734375,-3582.13745117188,-25.9045375946744,21
0,28,2.664878,0.000295616453513503,5.29070831589706E-09,15.8489332199097,8882.85211379291,8177.30078125,-3469.4111328125,-22.9902204294151,21
0,29,2.762074,0.000295616453513503,5.29070831589706E-09,12.5892505645752,9452.5877720096,8895.337890625,-3197.55834960938,-19.7717109170161,21
0,30,2.892191,0.000295616453513503,5.29070831589706E-09,10,9893.1094037242,9480.9248046875,-2825.89428710938,-16.5972685015442,21
0,31,3.030964,0.000295616453513503,5.29070831589706E-09,7.94327974319458,10211.9907599252,9921.822265625,-2417.06396484375,-13.6911934143328,21
0,32,3.213555,0.000295616453513503,5.29070831589706E-09,6.30957317352295,10436.3266133013,10239.32421875,-2018.20532226563,-11.1502625926397,21
0,33,3.428895,0.000295616453513503,5.29070831589706E-09,5.0118727684021,10585.8609510125,10455.55859375,-1655.82202148438,-8.99906033584882,21
0,34,3.706755,0.000295616453513503,5.29070831589706E-09,3.98107075691223,10683.1716737606,10598.40234375,-1343.13989257813,-7.22261544457961,21
0,35,4.060259,0.000295616453513503,4.66783856012398E-09,3.16227746009827,10747.3755279706,10692.8408203125,-1081.31213378906,-5.77439816490443,21
0,36,4.491456,0.000295616453513503,5.29070831589706E-09,2.51188564300537,10789.0875198689,10754.138671875,-867.704406738281,-4.61295276562648,21
0,37,5.004701,0.000295616453513503,5.29070831589706E-09,1.99526214599609,10815.5092073852,10793.1650390625,-694.858154296875,-3.68358790950153,21
0,38,5.660751,0.000295616453513503,5.29070831589706E-09,1.58489334583282,10832.1562950585,10818.0859375,-551.929931640625,-2.92065164119377,21
0,39,6.464414,0.000295616453513503,5.29070831589706E-09,1.25892519950867,10842.0003054416,10832.974609375,-442.302764892578,-2.33804791935129,21
0,40,7.494352,0.000295616453513503,5.29070831589706E-09,1,10850.4824579563,10844.853515625,-349.459289550781,-1.8456327252732,21
0,41,8.772981,0.000295616453513503,5.29070831589706E-09,0.794328391551971,10856.0487260043,10852.466796875,-278.851867675781,-1.47187922218581,21
0,42,10.391737,0.000295616453513503,5.29070831589706E-09,0.630956947803497,10855.3535336739,10853.10546875,-220.911804199219,-1.16607789919586,21
0,43,12.416966,0.000295616453513503,5.29070831589706E-09,0.501187026500702,10857.8220765166,10856.3984375,-175.821533203125,-0.927835438251122,21
0,44,14.950353,0.000295616453513503,5.29070831589706E-09,0.398107081651688,10860.3256245,10859.4404296875,-138.658660888672,-0.731540857040606,21
0,45,18.126924,0.000295616453513503,5.29070831589706E-09,0.316227793693542,10861.1237293264,10860.5498046875,-111.653945922852,-0.589019397204061,21
0,46,22.122544,0.000295616453513503,5.29070831589706E-09,0.251188695430756,10863.6780224131,10863.3271484375,-87.3123168945313,-0.460496077484693,21
0,47,27.152614,0.000295616453513503,5.29070831589706E-09,0.199526086449623,10862.0819915204,10861.84765625,-71.3490219116211,-0.376357610733387,21
0,48,33.475522,0.000295616453513503,5.29070831589706E-09,0.158489257097244,10861.5390410144,10861.3984375,-55.2659149169922,-0.291534866959128,21
0,49,41.429613,0.000295616453513503,5.29070831589706E-09,0.125892505049706,10862.1341739247,10862.041015625,-44.9865226745605,-0.237296392372244,21
0,50,51.449435,0.000295616453513503,5.29070831589706E-09,0.0999999940395355,10862.0049492568,10861.9443359375,-36.2871971130371,-0.191410989223664,21
0,51,64.055383,0.000295616453513503,5.29070831589706E-09,0.079432837665081,10859.3224628164,10859.28515625,-28.4648323059082,-0.150185854495119,21
0,52,79.928131,0.000295616453513503,5.29070831589706E-09,0.0630956962704659,10860.818974363,10860.794921875,-22.8573589324951,-0.120583094839683,21
0,53,99.901821,0.000295616453513503,5.29070831589706E-09,0.050118699669838,10861.9822705777,10861.9677734375,-17.7464122772217,-0.0936104434730545,21
0,54,125.049263,0.000295616453513503,5.29070831589706E-09,0.0398107059299946,10859.3620492656,10859.3525390625,-14.371826171875,-0.0758281398289077,21
0,55,156.698351,0.000295616453513503,5.29070831589706E-09,0.0316227748990059,10861.8037385879,10861.798828125,-10.3282594680786,-0.0544813532499065,21
