freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/ F	Cp/ F	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Analog IN 1/V	Analog IN 2/V	THD Ewe/%	NSD Ewe/%	NSR Ewe/%	THD I/%	NSD I/%	NSR I/%	|Ewe h2|/V	|Ewe h3|/V	|Ewe h4|/V	|Ewe h5|/V	|Ewe h6|/V	|Ewe h7|/V	|I h2|/A	|I h3|/A	|I h4|/A	|I h5|/A	|I h6|/A	|I h7|/A	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	
1,0000186E+006	1,8998955E+000	2,7826399E-001	1,9201651E+000	-8,3324556E+000	3,062492492113961E+000	3,2459970E+000	2,8506717E-001	5,7194602E-001	1,2011353E-002	1,000000000000000E+000	37	1,2766681E-002	6,6487412E-003	0	8,920596714002183E-005	-4,6431704E-004	-4,6521865E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5,1529104E-001	7,5470962E-002	5,2078855E-001	8,3324556E+000	1,2011358E+001	8,2009598E+001	8,2884537E+001	-8,1667542E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1667542E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1667542E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3324556E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3324556E+000	6,8276730E+000	8,3324556E+000	8,920596714002183E-005
7,9201306E+005	1,9337492E+000	3,0161235E-001	1,9571295E+000	-8,8651571E+000	3,889486211381154E+000	3,2459831E+000	2,6650217E-001	6,6625220E-001	1,5823325E-002	1,000000000000000E+000	37	1,4606298E-002	7,4631232E-003	0	1,484212787292070E-004	-7,3898648E-004	-4,3084644E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5,0484848E-001	7,8742653E-002	5,1095241E-001	8,8651571E+000	1,5823329E+001	1,0144924E+002	1,0267583E+002	-8,1134842E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1134842E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1134842E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,8651571E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,8651571E+000	6,4113727E+000	8,8651571E+000	5,921531158918515E-005
6,2729181E+005	1,9739577E+000	3,4094477E-001	2,0031855E+000	-9,7995224E+000	4,743491051922319E+000	3,2459786E+000	2,6467550E-001	7,4416029E-001	2,1557191E-002	1,000000000000000E+000	37	1,4943807E-002	7,4600214E-003	0	2,273168373188884E-004	-5,3298433E-004	-7,7456731E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,9192113E-001	8,4965311E-002	4,9920487E-001	9,7995224E+000	2,1557192E+001	1,2480903E+002	1,2665704E+002	-8,0200478E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0200478E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0200478E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,7995224E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,7995224E+000	5,7896700E+000	9,7995224E+000	7,889555858968137E-005
4,9682675E+005	2,0040519E+000	3,7654293E-001	2,0391195E+000	-1,0641285E+001	5,597501519165235E+000	3,2459793E+000	2,6724774E-001	8,5074747E-001	2,9009772E-002	1,000000000000000E+000	37	1,4895364E-002	7,3048021E-003	0	2,749102792858353E-004	-3,9564978E-004	-6,0270686E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,8197401E-001	9,0558484E-002	4,9040776E-001	1,0641285E+001	2,9009760E+001	1,5439697E+002	1,5709866E+002	-7,9358719E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9358719E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9358719E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0641285E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0641285E+001	5,3222404E+000	1,0641285E+001	4,759344196694694E-005
3,9349206E+005	2,0420969E+000	4,2638859E-001	2,0861368E+000	-1,1793879E+001	6,451485026424052E+000	3,2459829E+000	2,6087302E-001	9,4859010E-001	3,9628182E-002	1,000000000000000E+000	37	1,4945653E-002	7,1642725E-003	0	3,299719041413886E-004	-6,0165196E-004	-7,0582319E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,6923539E-001	9,7976059E-002	4,7935495E-001	1,1793879E+001	3,9628174E+001	1,8979070E+002	1,9388373E+002	-7,8206123E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,8206123E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,8206123E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,1793879E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,1793879E+001	4,7892857E+000	1,1793879E+001	5,506162485555333E-005
3,1165566E+005	2,0818527E+000	4,8413247E-001	2,1374037E+000	-1,3091389E+001	7,305500826943899E+000	3,2459712E+000	2,6689357E-001	1,0548261E+000	5,4117311E-002	1,000000000000000E+000	37	1,4889075E-002	6,9659627E-003	0	3,895551708867101E-004	-6,0165196E-004	-3,6210232E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,5569772E-001	1,0597198E-001	4,6785733E-001	1,3091389E+001	5,4117302E+001	2,3271375E+002	2,3892336E+002	-7,6908615E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,6908615E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,6908615E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,3091389E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,3091389E+001	4,3001714E+000	1,3091389E+001	5,958326674532146E-005
2,4683603E+005	2,1295452E+000	5,5656016E-001	2,2010729E+000	-1,4646732E+001	8,159476120868931E+000	3,2459641E+000	2,5295120E-001	1,1585091E+000	7,4072130E-002	1,000000000000000E+000	37	1,4868260E-002	6,7550060E-003	0	4,496162071990289E-004	-5,3298433E-004	-6,0270686E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,3955985E-001	1,1487969E-001	4,5432389E-001	1,4646732E+001	7,4072098E+001	2,8341937E+002	2,9293893E+002	-7,5353271E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5353271E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5353271E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4646732E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4646732E+001	3,8262625E+000	1,4646732E+001	6,006103631231880E-005
1,9549808E+005	2,1786594E+000	6,4281541E-001	2,2715125E+000	-1,6438740E+001	9,013496081432095E+000	3,2459633E+000	2,4527174E-001	1,2664597E+000	1,0142235E-001	1,000000000000000E+000	37	1,4924929E-002	6,5704808E-003	0	4,920793452989051E-004	-7,0465269E-004	-4,3084644E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,2223975E-001	1,2458220E-001	4,4023532E-001	1,6438740E+001	1,0142232E+002	3,4374530E+002	3,5839548E+002	-7,3561264E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,3561264E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,3561264E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,6438740E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,6438740E+001	3,3892457E+000	1,6438740E+001	4,246313809987622E-005
1,5483967E+005	2,2413685E+000	7,4518150E-001	2,3619967E+000	-1,8390274E+001	9,867477508640150E+000	3,2459776E+000	2,6083574E-001	1,3793542E+000	1,3729079E-001	1,000000000000000E+000	37	1,4889011E-002	6,3035698E-003	0	5,575616259065250E-004	-4,6431704E-004	-6,0270686E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	4,0174893E-001	1,3356833E-001	4,2337063E-001	1,8390274E+001	1,3729079E+002	4,1294537E+002	4,3516968E+002	-7,1609726E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,1609726E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,1609726E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,8390274E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,8390274E+001	3,0078156E+000	1,8390274E+001	6,548228060761988E-005
1,2263398E+005	2,3126628E+000	8,6468422E-001	2,4690259E+000	-2,0500326E+001	1,072148392253439E+001	3,2459867E+000	2,4374330E-001	1,5009001E+000	1,8408380E-001	1,000000000000000E+000	37	1,4911728E-002	6,0395189E-003	0	6,104324807130421E-004	-5,6731811E-004	-6,7145098E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	3,7936831E-001	1,4184247E-001	4,0501803E-001	2,0500326E+001	1,8408382E+002	4,9234595E+002	5,2563428E+002	-6,9499672E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,9499672E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,9499672E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-2,0500326E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	2,0500326E+001	2,6745751E+000	2,0500326E+001	5,287085480651713E-005
