freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
1000018.6,1.9531718157399884,-0.15307424247793505,0.05327631573998848,0.12518974752206496
792013.06,1.9601403958603245,-0.19198462004429606,0.026391195860324457,0.10962772995570391
627291.81,1.9708615870738826,-0.23991730179998189,-0.0030961129261173337,0.10102746820001812
496826.75,1.9870561380411313,-0.29824278017715083,-0.016995761958868538,0.07830014982284916
393492.06,2.010887435018789,-0.36802941551869517,-0.031209464981211354,0.05835917448130484
311655.66,2.0447412043284805,-0.44977388401729157,-0.03711149567151928,0.03435858598270841
246836.03,2.090753595475727,-0.5432863412312905,-0.038791604524273104,0.013273818768709478
195498.08,2.150183678833907,-0.6479687444610549,-0.02847572116609287,-0.005153334461054926
154839.67,2.223040084598676,-0.7636310396616371,-0.018328415401323905,-0.018449539661637093
122633.98,2.308387021090419,-0.8915389317399449,-0.004275778909581085,-0.026854711739944914
97127.375,2.4053594674957948,-1.035089648712455,0.011957867495794972,-0.02593974871245508
76928.07,2.5144443648252963,-1.199659083752517,0.022397564825296534,-0.022368183752516924
60922.652,2.6383370022342705,-1.3917156606940297,0.027971802234270537,-0.015602260694029813
48257.5,2.7820322332863228,-1.6178066154681465,0.033439633286322934,-0.007220915468146627
38218.156,2.952509277883659,-1.883722280590638,0.03281417788365859,0.0017892194093620528
30266.479,3.1581335454807338,-2.194328558476365,0.026895845480733982,0.007620041523634935
23975.656,3.4084757850645806,-2.5535574047336835,0.017483585064580698,0.015117595266316286
18983.818,3.714457219478085,-2.9643969231728926,-0.00870688052191504,0.023555576827107405
15040.457,4.088756571174756,-3.428604190789975,-0.018299528825243883,0.017604309210025093
11913.598,4.546200154947941,-3.9455751973762614,-0.03370154505205836,0.004575302623738509
9437.4268,5.103559631559573,-4.51095133466199,-0.03470546844042666,-0.010631334661989733
7470.6152,5.778533432862066,-5.1147737204831785,-0.031136567137934,-0.030305820483178536
5916.9902,6.587655522308636,-5.740124664439141,-0.014811077691363472,-0.046537364439140916
4686.4971,7.54335490158459,-6.362495799311811,0.014288301584589824,-0.05824749931181117
3711.1863,8.650589831221478,-6.950670959355535,0.05091083122147744,-0.051610259355535426
2940.938,9.90379808419597,-7.469132768123794,0.07229418419596989,-0.029581868123793598
2329.2527,11.284940291387127,-7.881912652548397,0.08469229138712642,0.00996504745160287
1844.4061,12.763303007317377,-8.15734929835049,0.06627100731737734,0.048387801649511175
1460.4702,14.297403593392309,-8.27282156825721,0.03959159339230922,0.0696295317427893
1156.8517,15.838882491918195,-8.218557811135,-0.008918508081805498,0.06806038886499977
916.46613,17.33780992077274,-7.999638436401733,-0.04132507922725992,0.03962716359826679
725.69403,18.748479728874273,-7.635726419970977,-0.06694627112572604,0.0033416800290231308
574.81604,20.034627145670825,-7.158505544142384,-0.044540854329174095,-0.04142004414238443
455.14554,21.17312157736135,-6.6073032424583005,-0.0308084226386498,-0.06267414245830061
360.57681,22.155522337291444,-6.023762404238648,0.007939337291443138,-0.0840585042386488
285.63962,22.987349845985857,-5.446551420136232,0.03253684598585593,-0.08258162013623238
226.23093,23.685393025452832,-4.907060900250767,0.05845302545283104,-0.07689740025076652
179.14027,24.273730343586756,-4.426716786189191,0.07201334358675737,-0.05838198618919055
141.86128,24.779310672802858,-4.016178628574925,0.028358672802855978,-0.03820972857492455
112.33688,25.227906200414147,-3.6762747062286927,0.01572120041414493,-0.02848900622869266
89.003143,25.64105269646655,-3.4002408523611996,0.015842696466549455,-0.038096652361199634
70.473549,26.034308195685412,-3.1766514005697397,0.0027681956854124223,-0.027637400569739512
55.839867,26.416866800969665,-2.9924263109556373,0.00048080096966529595,-0.03061901095563746
44.221729,26.79232135914728,-2.83539269615581,-0.010178640852718246,-0.0298673961558098
35.011173,27.160207415228577,-2.6960504589757583,-0.021602584771422073,-0.050332358975758495
27.736723,27.51789538950755,-2.5683988734621215,-0.02536561049245023,-0.034236873462121675
21.960661,27.862414771438687,-2.44985849434529,-0.023878228561311943,-0.04112699434528988
17.399788,28.191877587325273,-2.340482488130041,-0.039209412674725996,-0.03931948813004116
13.786777,28.506293480726487,-2.2417399265649047,-0.03816851927351195,-0.05137052656490493
10.911301,28.807711242764842,-2.155193768580161,-0.03499375723515641,-0.050179668580160985
8.6421518,29.099759728073124,-2.0813690374259304,-0.037058271926877495,-0.03809943742593047
6.8470612,29.386770896277323,-2.019033797491418,-0.03196510372267625,-0.02758749749141809
5.4197016,29.672731821027654,-1.964999664987584,-0.028026178972346827,-0.009206664987584157
4.2925849,29.960318208192774,-1.9144311845483981,-0.010729791807225553,0.04103551545160178
3.4004376,30.250214064392697,-1.8615429648412218,-0.0013919356073017752,0.08896333515877819
