freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	4,3312578E+000	-3,0253967E-002
7,9201306E+005	4,3781290E+000	-1,1201470E-001
6,2729181E+005	4,4201713E+000	-1,8242306E-001
4,9682675E+005	4,4695883E+000	-2,4050695E-001
3,9349206E+005	4,5141854E+000	-2,9584369E-001
3,1165566E+005	4,5643768E+000	-3,4311196E-001
2,4683603E+005	4,6155515E+000	-3,8560352E-001
1,9549808E+005	4,6702914E+000	-4,2823172E-001
1,5483967E+005	4,7263331E+000	-4,7223657E-001
1,2263398E+005	4,7866387E+000	-5,1831698E-001
9,7127375E+004	4,8499341E+000	-5,7101184E-001
7,6928070E+004	4,9173484E+000	-6,2881529E-001
6,0922652E+004	4,9903212E+000	-6,9718623E-001
4,8257500E+004	5,0698690E+000	-7,7076358E-001
3,8218156E+004	5,1656065E+000	-8,5693890E-001
3,0266479E+004	5,2720284E+000	-9,5059139E-001
2,3975656E+004	5,3936152E+000	-1,0626397E+000
1,8983818E+004	5,5340838E+000	-1,1846789E+000
1,5040457E+004	5,7040796E+000	-1,3110090E+000
1,1913598E+004	5,9068890E+000	-1,4454086E+000
9,4374268E+003	6,1350665E+000	-1,5736848E+000
7,4706152E+003	6,4047394E+000	-1,6969180E+000
5,9169902E+003	6,7031770E+000	-1,7986757E+000
4,6864971E+003	7,0247164E+000	-1,8735470E+000
3,7111863E+003	7,3698525E+000	-1,9168924E+000
2,9409380E+003	7,7146330E+000	-1,9137651E+000
2,3292527E+003	8,0480900E+000	-1,8719163E+000
1,8444061E+003	8,3596859E+000	-1,8060222E+000
1,4604702E+003	8,6429176E+000	-1,7162839E+000
1,1568517E+003	8,8880301E+000	-1,6196836E+000
9,1646613E+002	9,0973492E+000	-1,5279235E+000
7,2569403E+002	9,2865181E+000	-1,4519761E+000
5,7481604E+002	9,4571877E+000	-1,4011384E+000
4,5514554E+002	9,6062031E+000	-1,3608649E+000
3,6057681E+002	9,7499323E+000	-1,3556131E+000
2,8563962E+002	9,9045258E+000	-1,3686790E+000
2,2623093E+002	1,0061989E+001	-1,4042094E+000
1,7914027E+002	1,0232886E+001	-1,4660527E+000
1,4186128E+002	1,0420520E+001	-1,5448163E+000
1,1233688E+002	1,0633352E+001	-1,6301306E+000
8,9003143E+001	1,0882837E+001	-1,7154320E+000
7,0473549E+001	1,1154728E+001	-1,7993593E+000
5,5839867E+001	1,1440677E+001	-1,8598976E+000
4,4221729E+001	1,1744242E+001	-1,9084713E+000
3,5011173E+001	1,2063486E+001	-1,9283195E+000
2,7736723E+001	1,2377959E+001	-1,9227444E+000
2,1960661E+001	1,2673878E+001	-1,9081630E+000
1,7399788E+001	1,2967273E+001	-1,8757511E+000
1,3786777E+001	1,3242676E+001	-1,8454015E+000
1,0911301E+001	1,3507245E+001	-1,7950094E+000
8,6421518E+000	1,3747771E+001	-1,7763598E+000
6,8470612E+000	1,3963853E+001	-1,7622119E+000
5,4197016E+000	1,4199248E+001	-1,7572504E+000
4,2925849E+000	1,4422312E+001	-1,7315590E+000
3,4004376E+000	1,4632571E+001	-1,7583561E+000
2,6930346E+000	1,4851281E+001	-1,7805187E+000
2,1345615E+000	1,5087154E+001	-1,7709173E+000
1,6891882E+000	1,5218217E+001	-1,7432413E+000
1,3384447E+000	1,5500969E+001	-1,8735296E+000
1,0601133E+000	1,5525892E+001	-1,7945082E+000
8,3950907E-001	1,5909384E+001	-1,8134454E+000
6,6517669E-001	1,5923363E+001	-2,0858126E+000
5,2644908E-001	1,5900284E+001	-1,8841923E+000
4,1728988E-001	1,6315029E+001	-1,7891819E+000
3,3019856E-001	1,6641022E+001	-2,1845312E+000
2,6168153E-001	1,6403435E+001	-2,4707110E+000
2,0727515E-001	1,6273657E+001	-2,2233338E+000
1,6422123E-001	1,6632315E+001	-1,9328871E+000
1,3006553E-001	1,7244457E+001	-2,0431325E+000
1,0297224E-001	1,7572891E+001	-2,5798233E+000
8,1555545E-002	1,7420731E+001	-2,9429114E+000
6,4581856E-002	1,7329000E+001	-2,8424139E+000
5,1141009E-002	1,7638350E+001	-2,6031141E+000
4,0509924E-002	1,8261707E+001	-2,5949869E+000
3,2105520E-002	1,8900097E+001	-2,8761380E+000
2,5420561E-002	1,9358667E+001	-3,2708359E+000
2,0124838E-002	1,9762754E+001	-3,5487895E+000
1,5937239E-002	2,0310715E+001	-3,6837025E+000
1,2632385E-002	2,1145800E+001	-3,9578671E+000
1,0003746E-002	2,1851009E+001	-4,2563400E+000
1,0000186E+006	5,0878167E+000	-4,9459293E-002
7,9201306E+005	5,1348801E+000	-1,4486279E-001
6,2729181E+005	5,1876550E+000	-2,1745978E-001
4,9682675E+005	5,2382016E+000	-2,8427589E-001
3,9349206E+005	5,2931170E+000	-3,4397292E-001
3,1165566E+005	5,3481164E+000	-3,9619014E-001
2,4683603E+005	5,4050217E+000	-4,4924849E-001
1,9549808E+005	5,4661036E+000	-4,9542993E-001
1,5483967E+005	5,5321527E+000	-5,4701722E-001
1,2263398E+005	5,5982585E+000	-6,0016578E-001
9,7127375E+004	5,6699286E+000	-6,5774924E-001
7,6928070E+004	5,7477074E+000	-7,2374171E-001
6,0922652E+004	5,8330727E+000	-7,9306763E-001
4,8257500E+004	5,9255376E+000	-8,8247347E-001
3,8218156E+004	6,0302677E+000	-9,7343498E-001
3,0266479E+004	6,1452718E+000	-1,0812312E+000
2,3975656E+004	6,2829790E+000	-1,2034198E+000
1,8983818E+004	6,4434900E+000	-1,3363663E+000
1,5040457E+004	6,6338096E+000	-1,4801371E+000
1,1913598E+004	6,8533373E+000	-1,6296043E+000
9,4374268E+003	7,1083207E+000	-1,7852002E+000
7,4706152E+003	7,4061723E+000	-1,9269854E+000
5,9169902E+003	7,7405167E+000	-2,0547142E+000
4,6864971E+003	8,1018915E+000	-2,1553516E+000
3,7111863E+003	8,4965849E+000	-2,2078738E+000
2,9409380E+003	8,9054260E+000	-2,2198765E+000
2,3292527E+003	9,2912369E+000	-2,1855223E+000
1,8444061E+003	9,6618242E+000	-2,1122086E+000
1,4604702E+003	1,0000078E+001	-2,0106595E+000
1,1568517E+003	1,0294314E+001	-1,8932151E+000
9,1646613E+002	1,0551804E+001	-1,7789043E+000
7,2569403E+002	1,0775684E+001	-1,6768138E+000
5,7481604E+002	1,0971066E+001	-1,5932474E+000
4,5514554E+002	1,1140911E+001	-1,5280906E+000
3,6057681E+002	1,1309577E+001	-1,5047539E+000
2,8563962E+002	1,1466398E+001	-1,4956852E+000
2,2623093E+002	1,1628799E+001	-1,5196049E+000
