freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	1,5922188E+000	-1,1816134E-001
7,9433269E+005	1,6083364E+000	-1,5793283E-001
6,3095681E+005	1,6293287E+000	-2,0168145E-001
5,0120622E+005	1,6536717E+000	-2,4762706E-001
3,9810347E+005	1,6792070E+000	-2,9928318E-001
3,1622997E+005	1,7094434E+000	-3,5295907E-001
2,5118764E+005	1,7435541E+000	-4,1652039E-001
1,9954350E+005	1,7832212E+000	-4,9180004E-001
1,5848613E+005	1,8295666E+000	-5,7660347E-001
1,2590929E+005	1,8825195E+000	-6,7661977E-001
1,0000371E+005	1,9451882E+000	-7,9547834E-001
7,9433273E+004	2,0185974E+000	-9,3481779E-001
6,3093828E+004	2,1056874E+000	-1,0943400E+000
5,0122477E+004	2,2103615E+000	-1,2879847E+000
3,9814063E+004	2,3362610E+000	-1,5078005E+000
3,1621143E+004	2,4898224E+000	-1,7684667E+000
2,5116906E+004	2,6784239E+000	-2,0733528E+000
1,9948781E+004	2,9041462E+000	-2,4203651E+000
1,5847683E+004	3,1791623E+000	-2,8195996E+000
1,2590930E+004	3,5197186E+000	-3,2638438E+000
1,0002226E+004	3,9215741E+000	-3,7623301E+000
7,9439951E+003	4,4037132E+000	-4,3190489E+000
6,3077358E+003	4,9833398E+000	-4,9294872E+000
5,0116030E+003	5,6721001E+000	-5,5939279E+000
3,9812773E+003	6,4836383E+000	-6,3030572E+000
3,1630398E+003	7,4408121E+000	-7,0402217E+000
2,5124104E+003	8,5580044E+000	-7,8037729E+000
1,9956381E+003	9,8637800E+000	-8,5561829E+000
1,5844927E+003	1,1348982E+001	-9,2516251E+000
1,2587905E+003	1,3037671E+001	-9,8369856E+000
9,9968164E+002	1,4879019E+001	-1,0254853E+001
7,9423932E+002	1,6834526E+001	-1,0495175E+001
6,3100977E+002	1,8816301E+001	-1,0456187E+001
5,0112231E+002	2,0820871E+001	-1,0192902E+001
3,9808899E+002	2,2639982E+001	-9,6687880E+000
3,1631589E+002	2,4325315E+001	-8,9563055E+000
2,5120601E+002	2,5763132E+001	-8,1391535E+000
1,9955338E+002	2,6949352E+001	-7,2755194E+000
1,5852898E+002	2,7907679E+001	-6,4233947E+000
1,2592673E+002	2,8701593E+001	-5,6404343E+000
9,9968163E+001	2,9315125E+001	-4,9292321E+000
7,9415741E+001	2,9819950E+001	-4,3352408E+000
6,3082279E+001	3,0225889E+001	-3,8243654E+000
5,0112232E+001	3,0570890E+001	-3,4105642E+000
3,9808899E+001	3,0883318E+001	-3,0822415E+000
3,1629578E+001	3,1167934E+001	-2,8316109E+000
2,5120602E+001	3,1427870E+001	-2,6542459E+000
1,9955338E+001	3,1691254E+001	-2,5047114E+000
1,5846864E+001	3,1966982E+001	-2,4086087E+000
1,2587309E+001	3,2236374E+001	-2,3854132E+000
9,9968166E+000	3,2505493E+001	-2,3829541E+000
7,9395623E+000	3,2801575E+001	-2,4150879E+000
6,3105822E+000	3,3107204E+001	-2,4571948E+000
5,0112233E+000	3,3433964E+001	-2,5397389E+000
3,9819033E+000	3,3789032E+001	-2,6038365E+000
3,1629577E+000	3,4138512E+001	-2,7512698E+000
2,5112481E+000	3,4583294E+001	-2,8876104E+000
1,9950197E+000	3,4984951E+001	-3,0335386E+000
1,5846864E+000	3,5466629E+001	-3,1614273E+000
1,2582541E+000	3,5897518E+001	-3,3414323E+000
1,0000616E+000	3,6398727E+001	-3,4562972E+000
7,9444051E-001	3,6946102E+001	-3,5734999E+000
6,3126236E-001	3,7480118E+001	-3,7240984E+000
5,0118715E-001	3,7970333E+001	-3,8556888E+000
3,9821118E-001	3,8467445E+001	-3,9626694E+000
3,1619295E-001	3,8984165E+001	-4,1029358E+000
2,5117323E-001	3,9499104E+001	-4,3168688E+000
1,9957349E-001	3,9941284E+001	-4,5778131E+000
1,5846863E-001	4,0408089E+001	-4,8515191E+000
1,2590662E-001	4,0931747E+001	-5,1546121E+000
1,0002181E-001	4,1523903E+001	-5,5732832E+000
7,9420954E-002	4,2114689E+001	-6,0891619E+000
6,3119084E-002	4,2662514E+001	-6,6673117E+000
5,0094575E-002	4,3289780E+001	-7,2048149E+000
3,9821938E-002	4,4158604E+001	-7,8884978E+000
3,1629652E-002	4,5121479E+001	-8,7472429E+000
2,5115162E-002	4,6159351E+001	-9,7227077E+000
1,9949377E-002	4,7298115E+001	-1,0663883E+001
1,5841872E-002	4,8743744E+001	-1,1676064E+001
1,2591705E-002	5,0390423E+001	-1,2929925E+001
9,9972636E-003	5,2111546E+001	-1,4381629E+001
