freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	THD Ewe/%	NSD Ewe/%	NSR Ewe/%	THD I/%	NSD I/%	NSR I/%	|Ewe h2|/V	|Ewe h3|/V	|Ewe h4|/V	|Ewe h5|/V	|Ewe h6|/V	|Ewe h7|/V	|I h2|/A	|I h3|/A	|I h4|/A	|I h5|/A	|I h6|/A	|I h7|/A	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	
1,0000186E+006	4,3312578E+000	3,0253967E-002	4,3313637E+000	-4,0020624E-001	1,210891987484862E+004	2,4856424E+000	-2,6721632E-001	5,2605329E+000	2,5665227E-004	1,000000000000000E+000	38	1,2789459E-002	2,9527559E-003	0	-1,093443587831894E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,3086853E-001	1,6126237E-003	2,3087417E-001	4,0020624E-001	2,5665310E-001	3,6743187E+001	3,6744083E+001	-8,9599792E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,9599792E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,9599792E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,0020624E-001	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,0020624E-001	1,4316330E+002	4,0020624E-001	-1,093443587831894E-004
7,9201306E+005	4,3781290E+000	1,1201470E-001	4,3795619E+000	-1,4655963E+000	1,210978688790312E+004	2,4856479E+000	-3,1374493E-001	1,7939600E+000	1,1735497E-003	1,000000000000000E+000	38	1,4357924E-002	3,2783928E-003	0	-1,873271963205819E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,2825864E-001	5,8400114E-003	2,2833334E-001	1,4655963E+000	1,1735519E+000	4,5868549E+001	4,5883560E+001	-8,8534401E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,8534401E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,8534401E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4655963E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4655963E+000	3,9085308E+001	1,4655963E+000	-7,798283753739249E-005
6,2729181E+005	4,4201713E+000	1,8242306E-001	4,4239340E+000	-2,3632891E+000	1,211065387741098E+004	2,4856563E+000	-3,5936803E-001	1,3908195E+000	2,3649009E-003	1,000000000000000E+000	38	1,4576848E-002	3,2949967E-003	0	-2,695425991921220E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,2585090E-001	9,3209986E-003	2,2604315E-001	2,3632891E+000	2,3649006E+000	5,7302338E+001	5,7351116E+001	-8,7636711E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,7636711E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,7636711E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-2,3632891E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	2,3632891E+000	2,4230333E+001	2,3632891E+000	-8,221540287154007E-005
4,9682675E+005	4,4695883E+000	2,4050695E-001	4,4760542E+000	-3,0800951E+000	1,211152088782552E+004	2,4856534E+000	-4,0520915E-001	1,3319489E+000	3,8454938E-003	1,000000000000000E+000	38	1,4587516E-002	3,2590122E-003	0	-3,559645515463004E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,2308831E-001	1,2004303E-002	2,2341105E-001	3,0800951E+000	3,8454916E+000	7,1464767E+001	7,1568153E+001	-8,6919907E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,6919907E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,6919907E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,0800951E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,0800951E+000	1,8584030E+001	3,0800951E+000	-8,642195235417847E-005
3,9349206E+005	4,5141854E+000	2,9584369E-001	4,5238695E+000	-3,7495997E+000	1,211238888314675E+004	2,4856520E+000	-4,4912189E-001	1,3671679E+000	5,8469088E-003	1,000000000000000E+000	38	1,4609302E-002	3,2293817E-003	0	-4,642819101909538E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,2057651E-001	1,4455801E-002	2,2104970E-001	3,7495997E+000	5,8469143E+000	8,9216133E+001	8,9407524E+001	-8,6250397E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,6250397E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,6250397E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,7495997E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,7495997E+000	1,5258684E+001	3,7495997E+000	-1,083173586446533E-004
3,1165566E+005	4,5643768E+000	3,4311196E-001	4,5772548E+000	-4,2989359E+000	1,211325689782796E+004	2,4856613E+000	-4,9287251E-001	1,4883643E+000	8,3631678E-003	1,000000000000000E+000	38	1,4583495E-002	3,1860790E-003	0	-5,874624402689903E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,1785690E-001	1,6376672E-002	2,1847156E-001	4,2989359E+000	8,3631659E+000	1,1125420E+002	1,1156809E+002	-8,5701065E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,5701065E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,5701065E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,2989359E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,2989359E+000	1,3302878E+001	4,2989359E+000	-1,231805300780365E-004
2,4683603E+005	4,6155515E+000	3,8560352E-001	4,6316309E+000	-4,7756519E+000	1,211412388936244E+004	2,4856629E+000	-5,3507489E-001	1,6721321E+000	1,1590034E-002	1,000000000000000E+000	38	1,4572320E-002	3,1462610E-003	0	-7,117664459242078E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,1515711E-001	1,7975174E-002	2,1590666E-001	4,7756519E+000	1,1590029E+001	1,3872902E+002	1,3921231E+002	-8,5224350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,5224350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,5224350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,7756519E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,7756519E+000	1,1969682E+001	4,7756519E+000	-1,243040056552175E-004
1,9549808E+005	4,6702914E+000	4,2823172E-001	4,6898832E+000	-5,2389560E+000	1,211499189993704E+004	2,4856515E+000	-5,7711512E-001	1,9010732E+000	1,5850116E-002	1,000000000000000E+000	38	1,4568055E-002	3,1062723E-003	0	-8,470884904749304E-004	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,1233419E-001	1,9469498E-002	2,1322492E-001	5,2389560E+000	1,5850103E+001	1,7286122E+002	1,7358636E+002	-8,4761047E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4761047E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4761047E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,2389560E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,2389560E+000	1,0905992E+001	5,2389560E+000	-1,353220445507226E-004
1,5483967E+005	4,7263331E+000	4,7223657E-001	4,7498665E+000	-5,7058311E+000	1,211585989464493E+004	2,4856625E+000	-6,1795926E-001	2,1765981E+000	2,1514671E-002	1,000000000000000E+000	38	1,4566021E-002	3,0666171E-003	0	-1,000817436667586E-003	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,0948914E-001	2,0931330E-002	2,1053223E-001	5,7058311E+000	2,1514679E+001	2,1532745E+002	2,1639961E+002	-8,4294167E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4294167E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4294167E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,7058311E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,7058311E+000	1,0008401E+001	5,7058311E+000	-1,537289461926556E-004
1,2263398E+005	4,7866387E+000	5,1831698E-001	4,8146195E+000	-6,1801434E+000	1,211672787628614E+004	2,4856620E+000	-6,5814751E-001	2,5038822E+000	2,9018892E-002	1,000000000000000E+000	38	1,4555134E-002	3,0231120E-003	0	-1,153206920161882E-003	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2,0649365E-001	2,2359984E-002	2,0770073E-001	6,1801434E+000	2,9018898E+001	2,6798840E+002	2,6955496E+002	-8,3819855E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3819855E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3819855E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,1801434E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,1801434E+000	9,2349644E+000	6,1801434E+000	-1,523894834942962E-004
