freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	x	Pwe/W	Rwe/Ohm	
1,0000186E+006	2,7307825E+000	2,2223587E-001	2,7398105E+000	-4,6525779E+000	7,312172817685048E+004	2,7848098E+000	-4,7921535E-002	7,1613997E-001	4,7117821E-003	1,000000000000000E+000	37	1,3819902E-002	5,0441087E-003	0	-2,155700435054799E-005	3,6378604E-001	2,9605549E-002	3,6498874E-001	4,6525779E+000	4,7117844E+000	5,7897278E+001	5,8088688E+001	-8,5347420E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,5347420E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,5347420E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,6525779E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,6525779E+000	1,2287766E+001	8,5347420E+001	-2,155700435054799E-005	8,043208160195507E-007	-1,3345235E-004	5,8111867E+004
7,9433269E+005	2,7537475E+000	2,4096468E-001	2,7642701E+000	-5,0008879E+000	7,312215918542864E+004	2,7848172E+000	-1,0928364E-001	8,3150393E-001	6,3184439E-003	1,000000000000000E+000	37	1,4897260E-002	5,3892201E-003	0	-2,787027398275677E-005	3,6038205E-001	3,1534974E-002	3,6175916E-001	5,0008879E+000	6,3184404E+000	7,2207260E+001	7,2483177E+001	-8,4999115E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4999115E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4999115E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,0008879E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,0008879E+000	1,1428013E+001	8,4999115E+001	-6,313269632208784E-006	1,039877394278558E-006	-3,0433497E-004	2,5482471E+004
6,3095681E+005	2,7877703E+000	2,6550725E-001	2,8003852E+000	-5,4404402E+000	7,312259017278021E+004	2,7848139E+000	-1,1414719E-001	9,5004481E-001	8,5400678E-003	1,000000000000000E+000	37	1,4889675E-002	5,3170095E-003	0	-4,397241617122199E-005	3,5548511E-001	3,3856403E-002	3,5709372E-001	5,4404402E+000	8,5400629E+000	8,9668915E+001	9,0074677E+001	-8,4559563E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4559563E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4559563E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,4404402E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,4404402E+000	1,0499789E+001	8,4559563E+001	-1,610214218846522E-005	1,640669968890622E-006	-3,1787870E-004	2,4396691E+004
5,0120622E+005	2,8200932E+000	2,8764775E-001	2,8347251E+000	-5,8239927E+000	7,312302118330542E+004	2,7848208E+000	-1,1655101E-001	1,1039330E+000	1,1366919E-002	1,000000000000000E+000	37	1,5059397E-002	5,3124717E-003	0	-6,114647518877044E-005	3,5094699E-001	3,5796378E-002	3,5276788E-001	5,8239927E+000	1,1366914E+001	1,1144106E+002	1,1201926E+002	-8,4176010E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4176010E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4176010E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,8239927E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,8239927E+000	9,8039808E+000	8,4176010E+001	-1,717405901754845E-005	2,281457201603285E-006	-3,2457369E-004	2,3893578E+004
3,9810347E+005	2,8567369E+000	3,1662819E-001	2,8742301E+000	-6,3245988E+000	7,312345217153698E+004	2,7848160E+000	-1,2197360E-001	1,2626257E+000	1,5322537E-002	1,000000000000000E+000	37	1,4939128E-002	5,1976102E-003	0	-7,580878002225007E-005	3,4580174E-001	3,8327146E-002	3,4791926E-001	6,3245988E+000	1,5322538E+001	1,3824561E+002	1,3909215E+002	-8,3675400E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3675400E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3675400E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,3245988E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,3245988E+000	9,0223703E+000	8,3675400E+001	-1,466230483347963E-005	2,828527508618923E-006	-3,3967404E-004	2,2831303E+004
3,1622997E+005	2,8959043E+000	3,4534124E-001	2,9164228E+000	-6,8004990E+000	7,312388418536866E+004	2,7848148E+000	-1,1748274E-001	1,4573661E+000	2,0434525E-002	1,000000000000000E+000	37	1,4997013E-002	5,1422627E-003	0	-8,323402878878793E-005	3,4047341E-001	4,0602002E-002	3,4288579E-001	6,8004990E+000	2,0434526E+001	1,7135640E+002	1,7257053E+002	-8,3199501E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3199501E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3199501E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,8004990E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,8004990E+000	8,3856316E+000	8,3199501E+001	-7,425248766537864E-006	3,105573523451595E-006	-3,2716765E-004	2,3704035E+004
2,5118764E+005	2,9342241E+000	3,7754226E-001	2,9584134E+000	-7,3318787E+000	7,312431519034691E+004	2,7848146E+000	-1,1642058E-001	1,6782485E+000	2,7331894E-002	1,000000000000000E+000	37	1,5040334E-002	5,0839190E-003	0	-9,655860138169697E-005	3,3525524E-001	4,3136790E-002	3,3801901E-001	7,3318787E+000	2,7331896E+001	2,1242101E+002	2,1417216E+002	-8,2668121E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2668121E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2668121E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,3318787E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,3318787E+000	7,7719092E+000	8,2668121E+001	-1,332457259290904E-005	3,602731241971418E-006	-3,2420974E-004	2,3920295E+004
1,9954350E+005	2,9755487E+000	4,1599005E-001	3,0044863E+000	-7,9585285E+000	7,312474619305879E+004	2,7848086E+000	-1,2040833E-001	1,9173422E+000	3,6755729E-002	1,000000000000000E+000	37	1,4798393E-002	4,9254317E-003	0	-1,087321318390443E-004	3,2962990E-001	4,6083182E-002	3,3283558E-001	7,9585285E+000	3,6755718E+001	2,6291122E+002	2,6546808E+002	-8,2041473E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2041473E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2041473E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9585285E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9585285E+000	7,1529326E+000	8,2041473E+001	-1,217353045734733E-005	4,056942030820823E-006	-3,3531414E-004	2,3128041E+004
1,5848613E+005	3,0237241E+000	4,6413016E-001	3,0591378E+000	-8,7265739E+000	7,312517719299695E+004	2,7848186E+000	-1,2333390E-001	2,1636603E+000	4,9804732E-002	1,000000000000000E+000	37	1,5014922E-002	4,9082204E-003	0	-1,230088702348164E-004	3,2310528E-001	4,9595434E-002	3,2688949E-001	8,7265739E+000	4,9804749E+001	3,2446878E+002	3,2826895E+002	-8,1273422E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1273422E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1273422E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,7265739E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,7265739E+000	6,5148191E+000	8,1273422E+001	-1,427673839577215E-005	4,589626335646006E-006	-3,4346254E-004	2,2579506E+004
1,2590929E+005	3,0735402E+000	5,1856917E-001	3,1169798E+000	-9,5767784E+000	7,312560818288196E+004	2,7848163E+000	-1,2223449E-001	2,4375620E+000	6,7468502E-002	1,000000000000000E+000	37	1,4736249E-002	4,7277333E-003	0	-1,423347143599919E-004	3,1635222E-001	5,3375099E-002	3,2082337E-001	9,5767784E+000	6,7468529E+001	3,9988327E+002	4,0553500E+002	-8,0423218E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0423218E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0423218E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,5767784E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,5767784E+000	5,9269629E+000	8,0423218E+001	-1,932584412517543E-005	5,310699563830080E-006	-3,4040061E-004	2,2782572E+004
1,0000371E+005	3,1305094E+000	5,8044952E-001	3,1838672E+000	-1,0504315E+001	7,312603918212675E+004	2,7848074E+000	-1,2523463E-001	2,7418239E+000	9,1129407E-002	1,000000000000000E+000	37	1,4619748E-002	4,5918208E-003	0	-1,497314131895805E-004	3,0881980E-001	5,7260424E-002	3,1408346E-001	1,0504315E+001	9,1129433E+001	4,9148370E+002	4,9986078E+002	-7,9495682E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9495682E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9495682E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0504315E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0504315E+001	5,3932500E+000	7,9495682E+001	-7,396698829588579E-006	5,586680342129375E-006	-3,4875434E-004	2,2236719E+004
7,9433273E+004	3,1887703E+000	6,5582615E-001	3,2555130E+000	-1,1621819E+001	7,312647018801176E+004	2,7848129E+000	-1,2570049E-001	3,0551248E+000	1,2398455E-001	1,000000000000000E+000	37	1,4695561E-002	4,5140539E-003	0	-1,618543813305797E-004	3,0087382E-001	6,1879937E-002	3,0717126E-001	1,1621819E+001	1,2398454E+002	6,0284003E+002	6,1545776E+002	-7,8378181E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,8378181E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,8378181E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,1621819E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,1621819E+001	4,8622189E+000	7,8378181E+001	-1,212296814099924E-005	6,039004582974076E-006	-3,5005235E-004	2,2154352E+004
6,3093828E+004	3,2544539E+000	7,4238151E-001	3,3380535E+000	-1,2850008E+001	7,312690119128325E+004	2,7848117E+000	-1,2775028E-001	3,3978648E+000	1,6806366E-001	1,000000000000000E+000	37	1,4410029E-002	4,3168957E-003	0	-1,772211743068021E-004	2,9207307E-001	6,6625513E-002	2,9957578E-001	1,2850008E+001	1,6806363E+002	7,3675793E+002	7,5568353E+002	-7,7149994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,7149994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,7149994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,2850008E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,2850008E+001	4,3838024E+000	7,7149994E+001	-1,536679297622242E-005	6,612360289789829E-006	-3,5576048E-004	2,1798871E+004
5,0122477E+004	3,3273375E+000	8,5065156E-001	3,4343534E+000	-1,4340802E+001	7,312733219364844E+004	2,7848189E+000	-1,3153306E-001	3,7328103E+000	2,2900732E-001	1,000000000000000E+000	37	1,4272452E-002	4,1557904E-003	0	-1,843578939388713E-004	2,8210250E-001	7,2121009E-002	2,9117563E-001	1,4340802E+001	2,2900740E+002	8,9576593E+002	9,2457611E+002	-7,5659195E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5659195E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5659195E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4340802E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4340802E+001	3,9115164E+000	7,5659195E+001	-7,136719632069193E-006	6,878640894683928E-006	-3,6629575E-004	2,1172008E+004
