freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	
1,0000186E+006	5,3961039E+000	7,6854986E-001	5,4505601E+000	-8,1059380E+000	3,711338352363050E+004	2,7104828E+000	-4,8287460E-003	2,0708089E-001	4,1171988E-003	1,000000000000000E+000	38	1,3802669E-002	2,5323397E-003	0	-6,062536564733212E-006	-1,3088233E-005	1,8163438E-001	2,5869606E-002	1,8346739E-001	8,1059380E+000	4,1172009E+000	2,8907471E+001	2,9199198E+001	-8,1894058E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1894058E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1894058E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1059380E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1059380E+000	7,0211501E+000	8,1059380E+000	-6,062536564733212E-006
7,9201306E+005	5,5118790E+000	7,8834069E-001	5,5679703E+000	-8,1395693E+000	3,711380252847821E+004	2,7104747E+000	-1,2703108E-002	2,5490236E-001	5,1098471E-003	1,000000000000000E+000	38	1,4670216E-002	2,6347511E-003	0	-1,039238357291308E-005	-3,4431454E-005	1,7778940E-001	2,5428463E-002	1,7959866E-001	8,1395693E+000	5,1098485E+000	3,5726761E+001	3,6090332E+001	-8,1860428E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1860428E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1860428E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1395693E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1395693E+000	6,9917474E+000	8,1395693E+000	-4,329847008179867E-006
6,2729181E+005	5,6284213E+000	8,1291908E-001	5,6868238E+000	-8,2184601E+000	3,711422151780594E+004	2,7104707E+000	-1,6100487E-002	3,1210679E-001	6,3776146E-003	1,000000000000000E+000	38	1,4590446E-002	2,5656582E-003	0	-4,612049896050343E-006	-4,3639899E-005	1,7403920E-001	2,5136672E-002	1,7584509E-001	8,2184601E+000	6,3776150E+000	4,4156799E+001	4,4614986E+001	-8,1781540E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1781540E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1781540E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2184601E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2184601E+000	6,9237165E+000	8,2184601E+000	5,780333676862736E-006
4,9682675E+005	5,7451940E+000	8,3596873E-001	5,8056951E+000	-8,2788639E+000	3,711464051009371E+004	2,7104759E+000	-2,2994071E-002	3,8319966E-001	7,9450523E-003	1,000000000000000E+000	38	1,4713822E-002	2,5343774E-003	0	-4,015341298784026E-007	-6,2324878E-005	1,7044970E-001	2,4801709E-002	1,7224467E-001	8,2788639E+000	7,9450507E+000	5,4602360E+001	5,5177364E+001	-8,1721138E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1721138E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1721138E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2788639E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2788639E+000	6,8724985E+000	8,2788639E+000	4,210515766171940E-006
3,9349206E+005	5,8669343E+000	8,6019599E-001	5,9296589E+000	-8,3411417E+000	3,711505952659476E+004	2,7104733E+000	-2,7635170E-002	4,7020444E-001	9,8951450E-003	1,000000000000000E+000	38	1,4782897E-002	2,4930434E-003	0	-5,711325630144630E-006	-7,4904390E-005	1,6685982E-001	2,4464594E-002	1,6864376E-001	8,3411417E+000	9,8951435E+000	6,7489456E+001	6,8210999E+001	-8,1658859E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1658859E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1658859E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3411417E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3411417E+000	6,8204622E+000	8,3411417E+000	-5,309791500266227E-006
3,1165566E+005	5,9844642E+000	8,8848710E-001	6,0500598E+000	-8,4447660E+000	3,711547851797589E+004	2,7104650E+000	-3,2925162E-002	5,7476985E-001	1,2395867E-002	1,000000000000000E+000	38	1,4710264E-002	2,4314246E-003	0	-3,617501047789119E-006	-8,9242501E-005	1,6349556E-001	2,4273466E-002	1,6528763E-001	8,4447660E+000	1,2395863E+001	8,3493195E+001	8,4408356E+001	-8,1555237E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1555237E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1555237E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,4447660E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,4447660E+000	6,7355666E+000	8,4447660E+000	2,093824582355511E-006
2,4683603E+005	6,1077662E+000	9,1927296E-001	6,1765580E+000	-8,5592785E+000	3,711589752431697E+004	2,7104728E+000	-3,7404034E-002	7,0140219E-001	1,5536851E-002	1,000000000000000E+000	38	1,4611191E-002	2,3655880E-003	0	-2,383302958850335E-006	-1,0138262E-004	1,6009927E-001	2,4096362E-002	1,6190247E-001	8,5592785E+000	1,5536855E+001	1,0322881E+002	1,0439147E+002	-8,1440720E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1440720E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1440720E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,5592785E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,5592785E+000	6,6441269E+000	8,5592785E+000	1,234198088938785E-006
1,9549808E+005	6,2329912E+000	9,5320863E-001	6,3054566E+000	-8,6948528E+000	3,711631651383138E+004	2,7104750E+000	-4,2272616E-002	8,5406262E-001	1,9517874E-002	1,000000000000000E+000	38	1,4665822E-002	2,3258936E-003	0	-7,108561510323650E-006	-1,1457887E-004	1,5677015E-001	2,3974793E-002	1,5859279E-001	8,6948528E+000	1,9517879E+001	1,2762656E+002	1,2911037E+002	-8,1305145E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1305145E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1305145E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,6948528E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,6948528E+000	6,5389581E+000	8,6948528E+000	-4,725258551473315E-006
1,5483967E+005	6,3644762E+000	9,9729252E-001	6,4421387E+000	-8,9056425E+000	3,711673552574578E+004	2,7104731E+000	-4,5078907E-002	1,0306598E+000	2,4700191E-002	1,000000000000000E+000	38	1,4649218E-002	2,2739682E-003	0	-1,223355709044780E-005	-1,2218516E-004	1,5335663E-001	2,4030481E-002	1,5522796E-001	8,9056425E+000	2,4700182E+001	1,5763055E+002	1,5955403E+002	-8,1094360E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1094360E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1094360E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,9056425E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,9056425E+000	6,3817549E+000	8,9056425E+000	-5,124995580124151E-006
1,2263398E+005	6,4973879E+000	1,0433656E+000	6,5806279E+000	-9,1228056E+000	3,711715451203357E+004	2,7104657E+000	-5,0889131E-002	1,2438638E+000	3,1268798E-002	1,000000000000000E+000	38	1,4560509E-002	2,2126322E-003	0	-1,731967453995700E-005	-1,3793324E-004	1,5003899E-001	2,4093609E-002	1,5196118E-001	9,1228056E+000	3,1268787E+001	1,9472130E+002	1,9721593E+002	-8,0877197E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0877197E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0877197E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,1228056E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,1228056E+000	6,2273359E+000	9,1228056E+000	-5,086117449509199E-006
9,7127375E+004	6,6357036E+000	1,1047666E+000	6,7270403E+000	-9,4523745E+000	3,711757351141458E+004	2,7104652E+000	-5,5390380E-002	1,4832280E+000	4,0003773E-002	1,000000000000000E+000	38	1,4630699E-002	2,1749088E-003	0	-2,229188986226088E-005	-1,5013370E-004	1,4663544E-001	2,4413073E-002	1,4865379E-001	9,4523745E+000	4,0003780E+001	2,4027986E+002	2,4358717E+002	-8,0547623E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0547623E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0547623E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,4523745E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,4523745E+000	6,0064301E+000	9,4523745E+000	-4,972215322303884E-006
7,6928070E+004	6,7807488E+000	1,1687893E+000	6,8807430E+000	-9,7799015E+000	3,711799251959566E+004	2,7104597E+000	-6,0219809E-002	1,7701051E+000	5,1074114E-002	1,000000000000000E+000	38	1,4569287E-002	2,1174003E-003	0	-2,566629642448647E-005	-1,6322336E-004	1,4322110E-001	2,4686843E-002	1,4533314E-001	9,7799015E+000	5,1074104E+001	2,9630725E+002	3,0067682E+002	-8,0220100E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0220100E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0220100E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,7799015E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,7799015E+000	5,8015151E+000	9,7799015E+000	-3,374406562225582E-006
6,0922652E+004	6,9375162E+000	1,2427167E+000	7,0479412E+000	-1,0155679E+001	3,711841152593680E+004	2,7104585E+000	-6,6332117E-002	2,1021767E+000	6,5356515E-002	1,000000000000000E+000	38	1,4422217E-002	2,0463022E-003	0	-3,351492996545211E-005	-1,7979046E-004	1,3966238E-001	2,5017710E-002	1,4188540E-001	1,0155679E+001	6,5356514E+001	3,6485544E+002	3,7066287E+002	-7,9844322E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9844322E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9844322E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0155679E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0155679E+001	5,5825405E+000	1,0155679E+001	-7,848633540965644E-006
4,8257500E+004	7,0992870E+000	1,3316534E+000	7,2231002E+000	-1,0623842E+001	3,711883052025107E+004	2,7104616E+000	-6,9039568E-002	2,4766471E+000	8,4178120E-002	1,000000000000000E+000	38	1,4444944E-002	1,9998259E-003	0	-3,908268687034595E-005	-1,8712910E-004	1,3607159E-001	2,5523717E-002	1,3844471E-001	1,0623842E+001	8,4178108E+001	4,4876892E+002	4,5659555E+002	-7,9376160E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9376160E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9376160E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0623842E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0623842E+001	5,3311825E+000	1,0623842E+001	-5,567756904893840E-006
3,8218156E+004	7,2757297E+000	1,4365439E+000	7,4161916E+000	-1,1169009E+001	3,711924951981887E+004	2,7104602E+000	-7,5880952E-002	2,8988883E+000	1,0876957E-001	1,000000000000000E+000	38	1,4323657E-002	1,9314034E-003	0	-5,316374114655224E-005	-2,0567230E-004	1,3228624E-001	2,6119031E-002	1,3484010E-001	1,1169009E+001	1,0876956E+002	5,5089026E+002	5,6152551E+002	-7,8830994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,8830994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,8830994E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,1169009E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,1169009E+001	5,0647454E+000	1,1169009E+001	-1,408105427620629E-005
3,0266479E+004	7,4742036E+000	1,5515162E+000	7,6335392E+000	-1,1727070E+001	3,711953251649986E+004	2,7104576E+000	-7,9205602E-002	3,3892369E+000	1,4001116E-001	1,000000000000000E+000	38	1,5375501E-002	2,0142035E-003	0	-5,883685868356325E-005	-2,1468343E-004	1,2826644E-001	2,6625907E-002	1,3100083E-001	1,1727070E+001	1,4001111E+002	6,7448340E+002	6,8886206E+002	-7,8272934E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,8272934E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,8272934E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,1727070E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,1727070E+001	4,8173547E+000	1,1727070E+001	-5,673117537011013E-006
2,3975656E+004	7,6960630E+000	1,6831319E+000	7,8779640E+000	-1,2336374E+001	3,711995151286758E+004	2,7104547E+000	-8,4361352E-002	3,9439509E+000	1,8002790E-001	1,000000000000000E+000	38	1,4271799E-002	1,8116102E-003	0	-6,781893672245012E-005	-2,2865762E-004	1,2400540E-001	2,7120030E-002	1,2693635E-001	1,2336374E+001	1,8002786E+002	8,2317133E+002	8,4262750E+002	-7,7663628E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,7663628E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,7663628E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,2336374E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,2336374E+001	4,5724659E+000	1,2336374E+001	-8,982078038886866E-006
1,8983818E+004	7,9355288E+000	1,8285363E+000	8,1434736E+000	-1,2975836E+001	3,712023452725512E+004	2,7104557E+000	-8,7031521E-002	4,5849328E+000	2,3116429E-001	1,000000000000000E+000	38	1,4472499E-002	1,7771898E-003	0	-7,568147629447696E-005	-2,3589507E-004	1,1966206E-001	2,7573012E-002	1,2279772E-001	1,2975836E+001	2,3116434E+002	1,0032128E+003	1,0295012E+003	-7,7024162E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,7024162E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,7024162E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,2975836E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,2975836E+001	4,3398256E+000	1,2975836E+001	-7,862539572026843E-006
1,5040457E+004	8,2051077E+000	1,9809915E+000	8,4408598E+000	-1,3573393E+001	3,712051753516262E+004	2,7104566E+000	-8,8538155E-002	5,3416634E+000	2,9421741E-001	1,000000000000000E+000	38	1,4373814E-002	1,7028850E-003	0	-8,136179270269996E-005	-2,3997882E-004	1,1516245E-001	2,7804127E-002	1,1847135E-001	1,3573393E+001	2,9421744E+002	1,2186248E+003	1,2536388E+003	-7,6426605E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,6426605E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,6426605E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,3573393E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,3573393E+001	4,1419196E+000	1,3573393E+001	-5,680316408223000E-006
1,1913598E+004	8,5118208E+000	2,1405680E+000	8,7768517E+000	-1,4116122E+001	3,712080052909686E+004	2,7104568E+000	-9,3184851E-002	6,2409134E+000	3,7121773E-001	1,000000000000000E+000	38	1,4013877E-002	1,5966861E-003	0	-8,963608227706410E-005	-2,5257352E-004	1,1049560E-001	2,7787631E-002	1,1393607E-001	1,4116122E+001	3,7121765E+002	1,4761217E+003	1,5220834E+003	-7,5883881E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5883881E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5883881E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4116122E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4116122E+001	3,9764309E+000	1,4116122E+001	-8,274289574364144E-006
9,4374268E+003	8,8650465E+000	2,2914579E+000	9,1564093E+000	-1,4492736E+001	3,712108567289793E+004	2,7104354E+000	-9,6267097E-002	7,3596077E+000	4,6092263E-001	1,000000000000000E+000	38	1,5391508E-002	1,6809546E-003	0	-9,584326155764412E-005	-2,6092574E-004	1,0573789E-001	2,7331375E-002	1,0921311E-001	1,4492736E+001	4,6092267E+002	1,7831882E+003	1,8417953E+003	-7,5507263E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5507263E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5507263E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4492736E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4492736E+001	3,8687363E+000	1,4492736E+001	-6,207179280580023E-006
7,4706152E+003	9,2501554E+000	2,4400587E+000	9,5665703E+000	-1,4777198E+001	3,712142623944831E+004	2,7104342E+000	-9,8515868E-002	8,7309895E+000	5,6800413E-001	1,000000000000000E+000	38	1,5376625E-002	1,6073289E-003	0	-1,049756378990391E-004	-2,6702078E-004	1,0107332E-001	2,6661694E-002	1,0453067E-001	1,4777198E+001	5,6800421E+002	2,1532788E+003	2,2269348E+003	-7,5222801E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5222801E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5222801E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4777198E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4777198E+001	3,7909560E+000	1,4777198E+001	-9,132376341394985E-006
5,9169902E+003	9,6750288E+000	2,5656018E+000	1,0009420E+001	-1,4851739E+001	3,712183635245560E+004	2,7104242E+000	-1,0480344E-001	1,0484073E+001	6,8879610E-001	1,000000000000000E+000	38	1,5339145E-002	1,5324708E-003	0	-1,169835015042012E-004	-2,8406180E-004	9,6568264E-002	2,5607748E-002	9,9905886E-002	1,4851739E+001	6,8879596E+002	2,5974888E+003	2,6872639E+003	-7,5148262E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5148262E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5148262E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4851739E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4851739E+001	3,7710562E+000	1,4851739E+001	-1,200786360516212E-005
4,6864971E+003	1,0130810E+001	2,6566770E+000	1,0473358E+001	-1,4694226E+001	3,712229874407896E+004	2,7104213E+000	-1,1016989E-001	1,2783008E+001	8,2250518E-001	1,000000000000000E+000	38	1,5296959E-002	1,4605592E-003	0	-1,310129683930880E-004	-2,9860681E-004	9,2357516E-002	2,4219593E-002	9,5480360E-002	1,4694226E+001	8,2250525E+002	3,1364905E+003	3,2425435E+003	-7,5305771E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5305771E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5305771E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4694226E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4694226E+001	3,8133390E+000	1,4694226E+001	-1,402946688888672E-005
3,7111863E+003	1,0610454E+001	2,7080102E+000	1,0950573E+001	-1,4317438E+001	3,712276071956882E+004	2,7104216E+000	-1,1367542E-001	1,5836424E+001	9,6846515E-001	1,000000000000000E+000	38	1,5265113E-002	1,3940013E-003	0	-1,466683518470123E-004	-3,0810828E-004	8,8483088E-002	2,2582738E-002	9,1319419E-002	1,4317438E+001	9,6846497E+002	3,7946143E+003	3,9162510E+003	-7,5682564E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,5682564E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,5682564E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,4317438E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,4317438E+001	3,9181733E+000	1,4317438E+001	-1,565538345392432E-005
2,9409380E+003	1,1100015E+001	2,7080617E+000	1,1425582E+001	-1,3710571E+001	3,712322274623202E+004	2,7104321E+000	-1,1995554E-001	1,9983690E+001	1,1226287E+000	1,000000000000000E+000	38	1,5238201E-002	1,3336915E-003	0	-1,623971960421218E-004	-3,2513135E-004	8,5028961E-002	2,0744449E-002	8,7522894E-002	1,3710571E+001	1,1226288E+003	4,6015181E+003	4,7364824E+003	-7,6289429E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,6289429E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,6289429E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,3710571E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,3710571E+001	4,0988779E+000	1,3710571E+001	-1,572884419510955E-005
2,3292527E+003	1,1578342E+001	2,6557994E+000	1,1879027E+001	-1,2918829E+001	3,712368483753526E+004	2,7104287E+000	-1,2356362E-001	2,5728134E+001	1,2859883E+000	1,000000000000000E+000	38	1,5219112E-002	1,2811749E-003	0	-1,776983372367556E-004	-3,3491038E-004	8,2051143E-002	1,8820602E-002	8,4181979E-002	1,2918829E+001	1,2859885E+003	5,6064531E+003	5,7520503E+003	-7,7081169E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,7081169E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,7081169E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,2918829E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,2918829E+001	4,3596449E+000	1,2918829E+001	-1,530114119463382E-005
1,8444061E+003	1,2023459E+001	2,5673225E+000	1,2294499E+001	-1,2053139E+001	3,712414686017192E+004	2,7104251E+000	-1,2987357E-001	3,3611134E+001	1,4656231E+000	1,000000000000000E+000	38	1,5197943E-002	1,2361580E-003	0	-1,950659706284383E-004	-3,5201260E-004	7,9544052E-002	1,6984731E-002	8,1337184E-002	1,2053139E+001	1,4656230E+003	6,8639058E+003	7,0186362E+003	-7,7946861E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,7946861E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,7946861E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,2053139E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,2053139E+001	4,6832681E+000	1,2053139E+001	-1,736763339168262E-005
1,4604702E+003	1,2434279E+001	2,4528754E+000	1,2673906E+001	-1,1159298E+001	3,712460874848848E+004	2,7104325E+000	-1,3262579E-001	4,4427505E+001	1,6641096E+000	1,000000000000000E+000	38	1,5186001E-002	1,1982099E-003	0	-2,113639034781760E-004	-3,5947326E-004	7,7410460E-002	1,5270545E-002	7,8902274E-002	1,1159298E+001	1,6641102E+003	8,4358154E+003	8,5983857E+003	-7,8840698E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,8840698E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,8840698E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,1159298E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,1159298E+001	5,0692668E+000	1,1159298E+001	-1,629793284973775E-005
1,1568517E+003	1,2805716E+001	2,3178477E+000	1,3013791E+001	-1,0259520E+001	3,712507049344498E+004	2,7104270E+000	-1,3918561E-001	5,9355034E+001	1,8828672E+000	1,000000000000000E+000	38	1,5174526E-002	1,1660343E-003	0	-2,279644101229820E-004	-3,7725244E-004	7,5612955E-002	1,3686024E-002	7,6841563E-002	1,0259520E+001	1,8828676E+003	1,0402521E+004	1,0571549E+004	-7,9740479E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9740479E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9740479E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0259520E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0259520E+001	5,5248303E+000	1,0259520E+001	-1,660050664480597E-005
