freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
5,0000185E+006	5,8414941E+002	6,5603514E+000
4,8860230E+006	5,8281818E+002	6,5953002E+000
4,7746435E+006	5,8188641E+002	7,4671226E+000
4,6658070E+006	5,8265887E+002	8,7685661E+000
4,5594565E+006	5,8627106E+002	1,0422172E+001
4,4555190E+006	5,8782043E+002	1,2211744E+001
4,3539565E+006	5,8618561E+002	1,2743255E+001
4,2547040E+006	5,8523718E+002	1,2576676E+001
4,1577253E+006	5,8502344E+002	1,3639871E+001
4,0629640E+006	5,8782697E+002	1,2161570E+001
3,9703365E+006	5,8945483E+002	1,2976506E+001
3,8798248E+006	5,8878094E+002	1,2907811E+001
3,7913915E+006	5,9008472E+002	1,2570732E+001
3,7049623E+006	5,9164447E+002	1,1463017E+001
3,6205093E+006	5,9229297E+002	1,1092332E+001
3,5379770E+006	5,9247400E+002	9,8067513E+000
3,4573283E+006	5,9286456E+002	9,2249241E+000
3,3785258E+006	5,9354303E+002	8,7701654E+000
3,3015050E+006	5,9330011E+002	8,7571402E+000
3,2262470E+006	5,9292731E+002	7,6120391E+000
3,1527055E+006	5,9266479E+002	7,3860903E+000
3,0808435E+006	5,9246576E+002	7,6287260E+000
3,0106145E+006	5,9232629E+002	7,5117478E+000
2,9419908E+006	5,9124310E+002	8,0980158E+000
2,8749258E+006	5,9100500E+002	9,1943359E+000
2,8093918E+006	5,9142224E+002	8,0083456E+000
2,7453515E+006	5,9146588E+002	8,1613607E+000
2,6827680E+006	5,9133203E+002	8,3700695E+000
2,6216133E+006	5,9087476E+002	8,6600780E+000
2,5618598E+006	5,9126862E+002	1,0357897E+001
2,5034610E+006	5,9114740E+002	9,2808208E+000
2,4463980E+006	5,9109760E+002	9,3719463E+000
2,3906250E+006	5,9103064E+002	9,7311382E+000
2,3361323E+006	5,9211212E+002	9,3220568E+000
2,2828830E+006	5,9171735E+002	1,0925050E+001
2,2308400E+006	5,9123535E+002	1,0954357E+001
2,1799938E+006	5,9098529E+002	1,0410392E+001
2,1302980E+006	5,9059741E+002	1,1276879E+001
2,0817436E+006	5,9171039E+002	1,1908953E+001
2,0342841E+006	5,9152246E+002	1,2418725E+001
1,9879101E+006	5,9127631E+002	1,2191381E+001
1,9426031E+006	5,9049170E+002	1,2541949E+001
1,8983169E+006	5,9093420E+002	1,2826325E+001
1,8550419E+006	5,9106396E+002	1,3229208E+001
1,8127598E+006	5,9072723E+002	1,3792288E+001
1,7714611E+006	5,9018848E+002	1,3461392E+001
1,7310626E+006	5,9025397E+002	1,3984299E+001
1,6916011E+006	5,9054663E+002	1,4747746E+001
1,6530396E+006	5,9123358E+002	1,4683984E+001
1,6153596E+006	5,9085107E+002	1,5333724E+001
1,5785333E+006	5,9164783E+002	1,6196138E+001
1,5425513E+006	5,9021869E+002	1,5738269E+001
1,5073950E+006	5,9068750E+002	1,6178183E+001
1,4730274E+006	5,9160101E+002	1,6624548E+001
1,4394485E+006	5,9104279E+002	1,6755219E+001
1,4066398E+006	5,9066022E+002	1,7287935E+001
1,3745731E+006	5,9047699E+002	1,7836157E+001
1,3432396E+006	5,9109515E+002	1,8074917E+001
1,3126206E+006	5,9167944E+002	1,8468830E+001
1,2827068E+006	5,9119446E+002	1,8508543E+001
1,2534609E+006	5,9103131E+002	1,9020824E+001
1,2248924E+006	5,9071954E+002	1,9540131E+001
1,1969734E+006	5,9133618E+002	2,0291302E+001
1,1696853E+006	5,9179163E+002	2,0340168E+001
1,1430189E+006	5,9133575E+002	2,0733215E+001
1,1169649E+006	5,9082782E+002	2,1494680E+001
1,0915046E+006	5,9114813E+002	2,1482471E+001
1,0666196E+006	5,9171234E+002	2,1983612E+001
1,0423100E+006	5,9170593E+002	2,2204666E+001
1,0185478E+006	5,9130597E+002	2,3131529E+001
9,9533294E+005	5,9112659E+002	2,3590425E+001
9,7264700E+005	5,9153986E+002	2,4282139E+001
9,5047138E+005	5,9197455E+002	2,4767950E+001
9,2880606E+005	5,9193561E+002	2,5286072E+001
9,0763250E+005	5,9164429E+002	2,6050116E+001
8,8694144E+005	5,9171979E+002	2,6772821E+001
8,6672356E+005	5,9189990E+002	2,7091063E+001
8,4696963E+005	5,9222119E+002	2,7465025E+001
8,2766106E+005	5,9247998E+002	2,8254728E+001
8,0879788E+005	5,9207019E+002	2,8659349E+001
7,9036150E+005	5,9191748E+002	2,9338381E+001
7,7234263E+005	5,9217755E+002	2,9717030E+001
7,5474131E+005	5,9301831E+002	3,0418324E+001
7,3753900E+005	5,9275140E+002	3,1212873E+001
